Question,Category,Type,Option1,Option2,Option3,Option4,Owner
What’s your wildest sexual fantasy that you’d want to try?,Deep,Subjective,,,,,IG - Justmayor
Would you feel a certain way if your significant other spent a lot of time at work?,Deep,Subjective,,,,,IG - Justmayor
Do you like spending time with your partner’s friends and family?,Deep,Subjective,,,,,IG - Justmayor
How often would you like to talk on the phone with your partner?,Deep,Subjective,,,,,IG - Justmayor
"If you and your significant other went to a store to buy a couch and you both liked different couches, would you go with his/her pick?",Deep,Subjective,,,,,IG - Justmayor
Does sex play an important part in a relationship?,Deep,Subjective,,,,,IG - Justmayor
Is sex about constantly pushing the boundaries or playing by the rules?,Deep,Subjective,,,,,IG - Justmayor
What was the best moment in your past relationship?,Deep,Subjective,,,,,IG - Justmayor
Would you consider yourself affectionate?,Deep,Subjective,,,,,IG - Justmayor
"Do you say ""I love you"" freely?",Deep,Subjective,,,,,IG - Justmayor
Does your friends play an important role in picking the right person?,Deep,Subjective,,,,,IG - Justmayor
How much influence does your friend have on you?,Deep,Subjective,,,,,IG - Justmayor
When do you think a person is ready for marriage?,Deep,Subjective,,,,,IG - Justmayor
What’s the single most important thing for a relationship to be successful?,Deep,Subjective,,,,,IG - Justmayor
Have you ever cheated?,Deep,Subjective,,,,,IG - Justmayor
Why do you want to be in a relationship?,Deep,Subjective,,,,,IG - Justmayor
What is your view on non-monogamous relationship?,Deep,Subjective,,,,,IG - Justmayor
Do you think your potential partner’s friends and family would like you?,Deep,Subjective,,,,,IG - Justmayor
What are some annoying habits that irritate you the most?,Deep,Subjective,,,,,IG - Justmayor
Who would you prefer as a partner; a good looking person or an extremely clever person?,Deep,Objective,Good Looking,Extremely Clever,,,IG - Justmayor
How do you express your frustrations in a relationship?,Deep,Subjective,,,,,IG - Justmayor
"Describe your ""perfect"" companion?",Deep,Subjective,,,,,IG - Justmayor
Would you make sacrifices for your relationship?,Deep,Subjective,,,,,IG - Justmayor
How do you feel when your significant other has to leave you for some time because of work?,Deep,Subjective,,,,,IG - Justmayor
Would you apologize to your significant other even when it’s not your fault?,Deep,Subjective,,,,,IG - Justmayor
"In a relationship, what would make you feel happier: sharing or sacrificing?",Deep,Subjective,,,,,IG - Justmayor
Would you lie to make someone happy and where would you draw the line?,Deep,Subjective,,,,,
Have you stop someone from doing something they love because you feel jealous or angry?,Deep,Subjective,,,,,
How do you feel when others find your partner attractive?,Deep,Subjective,,,,,
Would you want to know all of your significant other's friends?,Deep,Subjective,,,,,
Do you think past relationship secrets should always be kept hidden?,Deep,Subjective,,,,,
Have you ever thought about cheating on your partner? Why?,Deep,Subjective,,,,,
Are you willing to compromise your happiness for a successful relationship?,Deep,Subjective,,,,,
What is the ideal number of calls a couple should exchange in a day?,Deep,Subjective,,,,,
Are you friends with any of your exes?,Deep,Subjective,,,,,
Can you avoid flirting if someone attractive flirts with you when your partner is not around?,Deep,Subjective,,,,,
Do you think romantic gifts have to be memorable or do they have to be useful?,Deep,Subjective,,,,,
How should finances be planned between a couple?,Deep,Subjective,,,,,
Do you think celebrating Valentine’s Day is cliche'?,Deep,Subjective,,,,,
"On a scale of 1-10, how easily do you get irritated?",Deep,Subjective,,,,,
Do you respect other’s beliefs?,Deep,Subjective,,,,,
What is your biggest sexual turn off?,Deep,Subjective,,,,,
What do you find sexiest about a person of the opposite sex?,Deep,Subjective,,,,,
Does education plays an important role in a relationship?,Deep,Subjective,,,,,
What’s the craziest thing you’d be willing to do for someone you love?,Deep,Subjective,,,,,
What kind of a parent do you think you’d be?,Deep,Subjective,,,,,
Is it fine for a partner to use the toilet with the door open?,Deep,Subjective,,,,,
"After a break up, would you ask for your gifts back/would you give back all the gifts?",Deep,Subjective,,,,,
Do you feel jealous if your partner hangs out with a friend of the opposite sex?,Deep,Subjective,,,,,
Would you dump your significant other for ten million dollars? Twenty million?,Deep,Subjective,,,,,
How would you feel if your potential partner is still good friends with their exes?,Deep,Subjective,,,,,
"In your past relationships, do you feel like you did your best?",Deep,Subjective,,,,,
"Do you believe in the saying; ""Love is blind""?",Deep,Subjective,,,,,
"If you could improve one thing about yourself, what would that be?",Deep,Subjective,,,,,
What makes you feel most loved?,Deep,Subjective,,,,,
What makes you feel at your best?,Deep,Subjective,,,,,
Do you think modern lovers suffer from a lack of intimacy?,Deep,Subjective,,,,,
"What is one thing that brings a smile to your face, no matter the time of day?",Deep,Subjective,,,,,
What’s one thing that you fear?,Deep,Subjective,,,,,
"If you were forced to leave your home and move to a county you’ve never been before, what are three things that you’d take with you?",Deep,Subjective,,,,,
What's your family like?,Deep,Subjective,,,,,
"If you had to lose one of your five senses, which would you give up and why?",Deep,Subjective,,,,,
"What’s the hardest thing, mentally, you’ve ever done or been through?",Deep,Subjective,,,,,
What’s one thing that defines who you are?,Deep,Subjective,,,,,
What’s one thing people would never know about you just by looking at you?,Deep,Subjective,,,,,
"If you could have three wishes, what would they be?",Deep,Subjective,,,,,
What’s one thing you want to do before you die?,Deep,Subjective,,,,,
What’s your zodiac sign? And do you think it describes you?,Deep,Subjective,,,,,
"If you had the option to hit restart and begin life all over again, would you?",Deep,Subjective,,,,,
What scares you the most about the future?,Deep,Subjective,,,,,
What’s one thing you’ve learned about yourself from a past relationship?,Deep,Subjective,,,,,
"If you were writing a book about your life, what would the title be?",Deep,Subjective,,,,,
Is what you’re doing now what you always wanted to do growing up?,Deep,Subjective,,,,,
What is a relationship deal breaker for you?,Deep,Subjective,,,,,
Are you more into looks or brains?,Deep,Subjective,,,,,
How do you feel about sharing your password with your partner?,Deep,Subjective,,,,,
What would you do if your parents didn’t like your partner?,Deep,Subjective,,,,,
"If you are in a bad mood, do you prefer to be left alone or have someone to cheer you up?",Deep,Subjective,,,,,
"In a relationship, what do you think of best friends of the opposite sex?",Deep,Subjective,,,,,
Do you judge a book by its cover?,Deep,Subjective,,,,,
Are you a confrontatinal person?,Deep,Subjective,,,,,
